SPA Эко,5000,4000,3000
8+19,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Голова»,90,1,5600
12+20,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо и голова»,90,1,5600
4+19,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Голова»,90,1,5200
8+23,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»,90,1,5600
15,Relax массаж Тай Оил + травяные мешочки,90,1,5200
22+5,Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»,120,1,6400
1+20,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо и голова»,90,1,5200
12+6,"Relax массаж «Тай Оил»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5600
22+21,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо и голова»,90,1,5600
SPA Норм,8400,6720,5040
1+22,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Руки»,90,1,5200
31+19,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»,90,1,5600
4+24,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»,120,1,6400
1+19,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»,90,1,5200
18+8,Программы для лица и головы «Лицо»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
20+31,Программы для лица и головы «Лицо и голова»+SPA - уход «Бархатное прикосновение»,90,1,5600
14,Relax массаж «Тай Оил»,120,1,6400
4+6,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
18+2,Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
6+31,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»",90,1,5600
12+22,Relax массаж «Тай Оил»+Программы для рук и ног «Руки»,90,1,5600
22+31,Программы для рук и ног «Руки»+SPA - уход «Бархатное прикосновение»,90,1,5600
4+18,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо»,90,1,5200
12+18,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо»,90,1,5600
SPA Норм,8400,6720,5040
12+19,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»,90,1,5600
32,SPA - уход «Принцесса сиама»,90,1,5600
34,SPA - уход «Мужской комплимент»,120,1,6400
10+22,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Руки»,90,1,6000
8+18,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо»,90,1,5600
23+21,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»,90,1,5600
31+18,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо»,90,1,5600
18+31,Программы для лица и головы «Лицо»+SPA - уход «Бархатное прикосновение»,90,1,5600
22+8,Программы для рук и ног «Руки»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
23+10,Программы для рук и ног «Ноги»+Массаж с проработкой «Спорт-oil»,90,1,6000
18+4,Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»,90,1,5200
44,Программы для похудения «Слим и тай ойл»,90,1,5600
1+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,6400
19+4,Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»,90,1,5200
SPA Норм,8400,6720,5040
10+23,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»,90,1,6000
33,SPA - уход «Королевская спа программа»,120,1,6400
1+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,120,1,6400
6+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»",120,1,6400
8+22,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Руки»,90,1,5600
1+18,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»,90,1,5200
11,Массаж с проработкой «Спорт-oil»,90,1,6000
20+8,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
3,Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,5600
22+24,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»,90,1,5200
19+31,Программы для лица и головы «Голова»+SPA - уход «Бархатное прикосновение»,90,1,5600
6+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",120,1,6400
1+24,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»,120,1,6400
10+19,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Голова»,90,1,6000
6+31,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»",90,1,5600
SPA Норм,8400,6720,5040
4+22,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»,90,1,5200
12+19,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»,90,1,5600
10+6,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,6000
12+18,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо»,90,1,5600
12+20,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо и голова»,90,1,5600
3,Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,5600
1+19,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»,90,1,5200
22+8,Программы для рук и ног «Руки»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
10+19,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Голова»,90,1,6000
22+5,Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»,120,1,6400
6+31,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»",90,1,5600
8+23,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»,90,1,5600
4+19,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Голова»,90,1,5200
20+8,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
25,Массаж в 4 руки «Тай в 4 руки»,60,1,6400
SPA Лукс,12000,9600,7200
19+31+1,Программы для лица и головы «Голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
22+44,Программы для рук и ног «Руки»+Программы для похудения «Слим и тай ойл»,120,1,7600
32+31,SPA - уход «Принцесса сиама»+SPA - уход «Бархатное прикосновение»,150,1,9200
17+7,"Relax массаж Стоун+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8000
22+33,Программы для рук и ног «Руки»+SPA - уход «Королевская спа программа»,150,1,8400
15+31,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Бархатное прикосновение»,150,1,8800
8+44,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Слим и тай ойл»,150,1,9200
23+22+1,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
1+44,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим и тай ойл»,150,1,8800
25+22,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Руки»,90,1,8400
23+6+3,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
31+10,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спорт-oil»,120,1,7600
SPA Лукс,12000,9600,7200
23+32,Программы для рук и ног «Ноги»+SPA - уход «Принцесса сиама»,120,1,7600
17+43,Relax массаж Стоун+Программы для похудения «Слим»,150,1,9600
18+34,Программы для лица и головы «Лицо»+SPA - уход «Мужской комплимент»,150,1,8400
10+21,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо и голова»,120,1,7600
23+34,Программы для рук и ног «Ноги»+SPA - уход «Мужской комплимент»,150,1,8400
1+34,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Мужской комплимент»,180,1,9600
1+10,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спорт-oil»,120,1,7200
33+23,SPA - уход «Королевская спа программа»+Программы для рук и ног «Ноги»,150,1,8400
10+32,Массаж с проработкой «Спорт-oil»+SPA - уход «Принцесса сиама»,150,1,9600
6+33,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Королевская спа программа»",150,1,8400
19+34,Программы для лица и головы «Голова»+SPA - уход «Мужской комплимент»,150,1,8400
10+13,Массаж с проработкой «Спорт-oil»+Relax массаж «Тай Оил»,150,1,8800
32+18,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо»,120,1,7600
18+15,Программы для лица и головы «Лицо»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
SPA Лукс,12000,9600,7200
44+18,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо»,120,1,7600
1+22+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»,180,1,9600
18+20+1,Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
22+21+1,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
28,Массаж в 4 руки «Тай Ойл в 4 руки»,60,1,7200
20+44,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим и тай ойл»,120,1,7600
4+17,Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун,150,1,8000
25+19,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Голова»,90,1,8400
17+21,Relax массаж Стоун+Программы для лица и головы «Лицо и голова»,150,1,8400
43+13,Программы для похудения «Слим»+Relax массаж «Тай Оил»,150,1,9600
22+32,Программы для рук и ног «Руки»+SPA - уход «Принцесса сиама»,120,1,7600
20+31+1,Программы для лица и головы «Лицо и голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
15+18,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо»,120,1,7200
22+18+3,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
34+18,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо»,150,1,8400
SPA Лукс,12000,9600,7200
1+32,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Принцесса сиама»,150,1,8800
10+8,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7600
1+17,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Стоун,150,1,8000
20+11,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спорт-oil»,120,1,8000
34+19,SPA - уход «Мужской комплимент»+Программы для лица и головы «Голова»,150,1,8400
4+10,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»,120,1,7200
8+43,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Слим»,120,1,8400
31+12,SPA - уход «Бархатное прикосновение»+Relax массаж «Тай Оил»,120,1,7200
1+24+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»,180,1,9600
22+34,Программы для рук и ног «Руки»+SPA - уход «Мужской комплимент»,150,1,8400
4+24+1,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
28+22,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для рук и ног «Руки»,90,1,9200
20+14,Программы для лица и головы «Лицо и голова»+Relax массаж «Тай Оил»,150,1,8400
20+4+2,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
6+2+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",180,1,9600
SPA Лукс,12000,9600,7200
31+32,SPA - уход «Бархатное прикосновение»+SPA - уход «Принцесса сиама»,150,1,9200
20+25,Программы для лица и головы «Лицо и голова»+Массаж в 4 руки «Тай в 4 руки»,90,1,8400
15+22,Relax массаж Тай Оил + травяные мешочки+Программы для рук и ног «Руки»,120,1,7200
32+22,SPA - уход «Принцесса сиама»+Программы для рук и ног «Руки»,120,1,7600
1+18+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»,180,1,9600
4+14,Массаж с проработкой «Восстанавливающий»+Relax массаж «Тай Оил»,180,1,9600
19+33,Программы для лица и головы «Голова»+SPA - уход «Королевская спа программа»,150,1,8400
10+17,Массаж с проработкой «Спорт-oil»+Relax массаж Стоун,150,1,8800
15+1,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
44+22,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Руки»,120,1,7600
31+8,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7200
1+20+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»,150,1,8400
SPA Лукс,12000,9600,7200
10+44,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим и тай ойл»,150,1,9600
44+12,Программы для похудения «Слим и тай ойл»+Relax массаж «Тай Оил»,150,1,9200
1+7+4,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»",180,1,9600
4+44,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим и тай ойл»,150,1,8800
15+5,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Восстанавливающий»,180,1,9600
6+44,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»",120,1,7600
8+5,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»,150,1,8000
19+18+1,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
19+11,Программы для лица и головы «Голова»+Массаж с проработкой «Спорт-oil»,120,1,8000
12+31,Relax массаж «Тай Оил»+SPA - уход «Бархатное прикосновение»,120,1,7200
19+44,Программы для лица и головы «Голова»+Программы для похудения «Слим и тай ойл»,120,1,7600
22+19+2,Программы для рук и ног «Руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
34+6,"SPA - уход «Мужской комплимент»+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8400
SPA Лукс,12000,9600,7200
4+18+1,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
10+5,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»,150,1,8400
18+19+1,Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
12+43,Relax массаж «Тай Оил»+Программы для похудения «Слим»,120,1,8400
31+17,SPA - уход «Бархатное прикосновение»+Relax массаж Стоун,150,1,8400
18+23+1,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
28+18,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для лица и головы «Лицо»,90,1,9200
22+11,Программы для рук и ног «Руки»+Массаж с проработкой «Спорт-oil»,120,1,8000
8+20+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
25+7,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,9600
12+32,Relax массаж «Тай Оил»+SPA - уход «Принцесса сиама»,150,1,9200
43+31,Программы для похудения «Слим»+SPA - уход «Бархатное прикосновение»,120,1,8400
SPA Лукс,12000,9600,7200
32+4,SPA - уход «Принцесса сиама»+Массаж с проработкой «Восстанавливающий»,150,1,8800
10+31,Массаж с проработкой «Спорт-oil»+SPA - уход «Бархатное прикосновение»,120,1,7600
32+7,"SPA - уход «Принцесса сиама»+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8800
19+15,Программы для лица и головы «Голова»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
23+15,Программы для рук и ног «Ноги»+Relax массаж Тай Оил + травяные мешочки,120,1,7200
34+20,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо и голова»,150,1,8400
12+44,Relax массаж «Тай Оил»+Программы для похудения «Слим и тай ойл»,150,1,9200
33+19,SPA - уход «Королевская спа программа»+Программы для лица и головы «Голова»,150,1,8400
23+33,Программы для рук и ног «Ноги»+SPA - уход «Королевская спа программа»,150,1,8400
44+10,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спорт-oil»,150,1,9600
31+44,SPA - уход «Бархатное прикосновение»+Программы для похудения «Слим и тай ойл»,150,1,9200
28+19,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для лица и головы «Голова»,90,1,9200
SPA Лукс,12000,9600,7200
23+44,Программы для рук и ног «Ноги»+Программы для похудения «Слим и тай ойл»,120,1,7600
28+23,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для рук и ног «Ноги»,90,1,9200
20+3,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
19+6+3,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
44+19,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Голова»,120,1,7600
23+18+1,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
12+9,Relax массаж «Тай Оил»+Массаж с проработкой «Тай + травяные мешочки»,150,1,8400
44+21,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо и голова»,150,1,9200
17+2,Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9200
34+24,SPA - уход «Мужской комплимент»+Программы для рук и ног «Ноги»,180,1,9600
6+18+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,8400
1+33,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Королевская спа программа»,180,1,9600
SPA Лукс,12000,9600,7200
12+17,Relax массаж «Тай Оил»+Relax массаж Стоун,150,1,8400
6+31+1,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,8800
43+8,Программы для похудения «Слим»+Массаж с проработкой «Тай + травяные мешочки»,120,1,8400
43+2,Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,9200
33+18,SPA - уход «Королевская спа программа»+Программы для лица и головы «Лицо»,150,1,8400
19+14,Программы для лица и головы «Голова»+Relax массаж «Тай Оил»,150,1,8400
6+19+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,8400
8+17,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Стоун,150,1,8400
45,Программы для похудения «Талассотерапия»,120,1,8000
32+23,SPA - уход «Принцесса сиама»+Программы для рук и ног «Ноги»,120,1,7600
20+33,Программы для лица и головы «Лицо и голова»+SPA - уход «Королевская спа программа»,150,1,8400
20+34,Программы для лица и головы «Лицо и голова»+SPA - уход «Мужской комплимент»,150,1,8400
12+10,Relax массаж «Тай Оил»+Массаж с проработкой «Спорт-oil»,120,1,7600
12+18+1,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
43+21,Программы для похудения «Слим»+Программы для лица и головы «Лицо и голова»,120,1,8400
SPA Лукс,12000,9600,7200
6+34,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Мужской комплимент»",150,1,8400
1+4+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8400
15+19,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Голова»,120,1,7200
4+43,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»,120,1,8000
4+2,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
33+1,SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
18+33,Программы для лица и головы «Лицо»+SPA - уход «Королевская спа программа»,150,1,8400
18+44,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»,120,1,7600
15+21,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо и голова»,150,1,8800
6+32,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Принцесса сиама»",120,1,7600
25+18,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо»,90,1,8400
22+31+1,Программы для рук и ног «Руки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
35,SPA - уход «Целебные травы»,180,1,8800
28+6,"Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,9200
SPA Лукс,12000,9600,7200
31+21,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо и голова»,120,1,7200
8+31,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Бархатное прикосновение»,120,1,7200
10+43,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим»,120,1,8800
44+23,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»,120,1,7600
46,Программы для похудения «Имбирный коктейль»,120,1,8000
10+23+1,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,9200
